title,date,L,E,M,C,B,A,i+,i,i-
"Äidinkieli, suomi",Syksy 2003,092,087,080,070,063,053,,,
Suomi toisena kielenä,Syksy 2003,180,167,148,129,111,091,,,
"Äidinkieli, ruotsi",Syksy 2003,092,087,080,070,060,050,,,
Ruotsi toisena kielenä,Syksy 2003,180,167,148,129,111,091,,,
"Äidinkieli, pohjoissaame",Syksy 2003,095,090,082,072,063,050,,,
Reaalikoe,Syksy 2003,040,031,026,021,017,012,,,
"Matematiikka, pitkä oppimäärä",Syksy 2003,050,040,030,021,015,010,,,
"Matematiikka, lyhyt oppimäärä",Syksy 2003,048,037,030,023,017,012,,,
Reaalikoe,Kevät 2004,040,032,027,022,018,012,,,
"Matematiikka, pitkä oppimäärä",Kevät 2004,057,048,037,027,019,013,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2004,047,036,027,019,013,007,,,
"Ruotsi, pitkä oppimäärä",Kevät 2004,274,248,223,203,169,120,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2004,264,234,206,171,139,110,,,
"Suomi, pitkä oppimäärä",Kevät 2004,275,255,235,215,192,142,,,
"Suomi, keskipitkä oppimäärä",Kevät 2004,268,240,217,189,158,122,,,
"Englanti, pitkä oppimäärä",Kevät 2004,270,247,225,198,162,121,,,
"Saksa, pitkä oppimäärä",Kevät 2004,273,244,224,204,176,139,,,
"Äidinkieli, suomi",Syksy 2006,92,87,80,70,63,53,,,
"Ruotsi, pitkä oppimäärä",Syksy 2003,276,249,223,198,162,120,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2003,272,243,218,185,148,114,,,
"Suomi, pitkä oppimäärä",Syksy 2003,280,260,240,217,181,148,,,
"Suomi, keskipitkä oppimäärä",Syksy 2003,268,238,224,193,160,123,,,
"Englanti, pitkä oppimäärä",Syksy 2003,277,260,241,213,172,133,,,
"Saksa, pitkä oppimäärä",Syksy 2003,270,243,214,184,154,120,,,
"Ranska, pitkä oppimäärä",Syksy 2003,279,258,237,218,185,140,,,
"Venäjä, pitkä oppimäärä",Syksy 2003,278,258,230,196,160,120,,,
"Englanti, lyhyt oppimäärä",Syksy 2003,272,245,220,198,165,115,,,
"Saksa, lyhyt oppimäärä",Syksy 2003,269,240,210,184,154,125,,,
"Ranska, lyhyt oppimäärä",Syksy 2003,279,254,225,198,169,133,,,
"Venäjä, lyhyt oppimäärä",Syksy 2003,275,255,220,176,158,120,,,
"Italia , lyhyt oppimäärä",Syksy 2003,288,265,247,215,193,150,,,
"Espanja, lyhyt oppimäärä",Syksy 2003,285,265,245,215,193,150,,,
"Portugali, lyhyt oppimäärä",Syksy 2003,189,180,164,149,125,100,,,
"Latina, lyhyt oppimäärä",Syksy 2003,190,180,158,143,120,100,,,
"Äidinkieli, suomi",Syksy 2005,092,087,080,070,063,053,,,
"Ranska, pitkä oppimäärä",Kevät 2004,278,254,233,211,179,133,,,
"Venäjä, pitkä oppimäärä",Kevät 2004,274,254,224,190,160,120,,,
"Englanti, lyhyt oppimäärä",Kevät 2004,269,240,216,196,166,121,,,
"Saksa, lyhyt oppimäärä",Kevät 2004,275,245,217,188,158,125,,,
"Ranska, lyhyt oppimäärä",Kevät 2004,272,243,213,187,164,133,,,
"Venäjä, lyhyt oppimäärä",Kevät 2004,260,220,183,150,128,105,,,
"Italia , lyhyt oppimäärä",Kevät 2004,284,263,233,207,173,123,,,
"Espanja, lyhyt oppimäärä",Kevät 2004,280,252,225,202,177,135,,,
"Portugali, lyhyt oppimäärä",Kevät 2004,189,177,160,147,120,100,,,
"Äidinkieli, ruotsi",Syksy 2006,92,87,80,70,60,50,,,
"Äidinkieli, pohjoissaame",Syksy 2006,92,87,80,70,63,53,,,
Suomi toisena kielenä,Syksy 2006,185,167,154,132,112,91,,,
"Matematiikka, pitkä oppimäärä",Syksy 2006,51,38,28,20,13,8,,,
"Matematiikka, lyhyt oppimäärä",Syksy 2006,48,39,30,21,14,8,,,
"Ruotsi, pitkä oppimäärä",Syksy 2006,273,247,225,198,162,118,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2006,260,230,206,177,143,108,,,
"Suomi, pitkä oppimäärä",Syksy 2006,279,257,239,213,187,147,,,
"Suomi, keskipitkä oppimäärä",Syksy 2006,270,237,223,194,157,117,,,
"Englanti, pitkä oppimäärä",Syksy 2006,277,258,239,210,168,129,,,
"Äidinkieli, suomi",Kevät 2003,092,087,080,070,063,053,,,
Suomi toisena kielenä,Kevät 2003,187,169,147,123,107,090,,,
"Äidinkieli, ruotsi",Kevät 2003,092,087,080,070,060,050,,,
Ruotsi toisena kielenä,Kevät 2003,187,169,150,130,115,093,,,
"Äidinkieli, pohjoissaame",Kevät 2003,092,087,080,070,063,053,,,
"Äidinkieli, inarinsaame",Kevät 2003,092,087,080,070,063,053,,,
"Latina, laajempi oppimäärä",Syksy 2003,190,180,158,143,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2003,200,180,160,140,120,100,,,
"
",Syksy 2005,092,087,080,070,060,050,,,
"Äidinkieli, pohjoissaame",Syksy 2005,092,087,080,070,063,053,,,
Suomi toisena kielenä,Syksy 2005,179,164,150,130,115,091,,,
Reaalikoe,Syksy 2005,040,032,027,022,018,012,,,
